event_session,closure,holiday,ret
2017-02-17,2017-02-20,Washington's Birthday,0.0016785565287558146
2017-04-13,2017-04-14,Good Friday,-0.006814694227374907
2017-05-26,2017-05-29,Memorial Day,0.00031054999597146526
2017-07-03,2017-07-04,Independence Day,0.002310833849555216
2017-09-01,2017-09-04,Labor Day,0.001982540682532896
2017-11-22,2017-11-23,Thanksgiving,-0.0007502611166068096
2017-12-22,2017-12-25,Christmas Day,-0.0004581666477052604
2017-12-29,2018-01-01,New Year's Day,-0.005183153157965359
2018-01-12,2018-01-15,Martin Luther King Jr. Day,0.006749602987881076
2018-02-16,2018-02-19,Washington's Birthday,0.0003734693722488025
2018-03-29,2018-03-30,Good Friday,0.013769718690019195
2018-05-25,2018-05-28,Memorial Day,-0.0023572204364039617
2018-07-03,2018-07-04,Independence Day,-0.00494735062681062
2018-08-31,2018-09-03,Labor Day,0.00013447750859452157
2018-11-21,2018-11-22,Thanksgiving,0.0030432907461763747
2018-12-24,2018-12-25,Christmas Day,-0.027112254452099527
2018-12-31,2019-01-01,New Year's Day,0.00849248413140935
2019-01-18,2019-01-21,Martin Luther King Jr. Day,0.01318305304897005
2019-02-15,2019-02-18,Washington's Birthday,0.01087875260858695
2019-04-18,2019-04-19,Good Friday,0.0015790922795098083
2019-05-24,2019-05-27,Memorial Day,0.0013535590072402126
2019-07-03,2019-07-04,Independence Day,0.007672378673070135
2019-08-30,2019-09-02,Labor Day,0.0006427872591217021
2019-11-27,2019-11-28,Thanksgiving,0.004174424362754614
2019-12-24,2019-12-25,Christmas Day,-0.00019544819997963092
2019-12-31,2020-01-01,New Year's Day,0.0029460216619106028
2020-01-17,2020-01-20,Martin Luther King Jr. Day,0.003862162248501333
2020-02-14,2020-02-17,Washington's Birthday,0.0018435333204338544
2020-04-09,2020-04-10,Good Friday,0.014487410153376512
2020-05-22,2020-05-25,Memorial Day,0.002353711326488428
2020-07-02,2020-07-03,Independence Day,0.004541250844364075
2020-09-04,2020-09-07,Labor Day,-0.008133027264274895
2020-11-25,2020-11-26,Thanksgiving,-0.001584418237524976
2020-12-24,2020-12-25,Christmas Day,0.0035365890047962534
2020-12-31,2021-01-01,New Year's Day,0.006438845522919845
2021-01-15,2021-01-18,Martin Luther King Jr. Day,-0.007190027975370938
2021-02-12,2021-02-15,Washington's Birthday,0.0047110331133788375
2021-04-01,2021-04-02,Good Friday,0.011825201774944727
2021-05-28,2021-05-31,Memorial Day,0.0007688818911402162
2021-07-02,2021-07-05,Independence Day,0.007500081663913916
2021-09-03,2021-09-06,Labor Day,-0.0003350311257153127
2021-11-24,2021-11-25,Thanksgiving,0.0022938506357221833
2021-12-23,2021-12-24,Christmas Day,0.006223699921661829
2022-01-14,2022-01-17,Martin Luther King Jr. Day,0.0008199802697488323
2022-02-18,2022-02-21,Washington's Birthday,-0.0071661613961429005
2022-04-14,2022-04-15,Good Friday,-0.01214413784439794
2022-05-27,2022-05-30,Memorial Day,0.02474226295510973
2022-07-01,2022-07-04,Independence Day,0.010553814029047315
2022-09-02,2022-09-05,Labor Day,-0.010736500458081055
2022-11-23,2022-11-24,Thanksgiving,0.0059146891478476515
2022-12-23,2022-12-26,Christmas Day,0.005868102525282026
2022-12-30,2023-01-02,New Year's Day,-0.0025407424823445934
2023-01-13,2023-01-16,Martin Luther King Jr. Day,0.003996858363534361
2023-02-17,2023-02-20,Washington's Birthday,-0.002767405825327751
2023-04-06,2023-04-07,Good Friday,0.0035791630944272956
2023-05-26,2023-05-29,Memorial Day,0.01304908677799732
2023-07-03,2023-07-04,Independence Day,0.0011706778016009611
2023-09-01,2023-09-04,Labor Day,0.0017991292600010311
2023-11-22,2023-11-23,Thanksgiving,0.00406112922094648
2023-12-22,2023-12-25,Christmas Day,0.0016600585268868873
2023-12-29,2024-01-01,New Year's Day,-0.0028264750133749628
2024-01-12,2024-01-15,Martin Luther King Jr. Day,0.0007509755941104146
2024-02-16,2024-02-19,Washington's Birthday,-0.0048034698371121065
2024-03-28,2024-03-29,Good Friday,0.0011164855071790214
2024-05-24,2024-05-27,Memorial Day,0.0070010425881694704
2024-07-03,2024-07-04,Independence Day,0.005084444409779065
2024-08-30,2024-09-02,Labor Day,0.010093051774424433
2024-11-27,2024-11-28,Thanksgiving,-0.003801238017440034
2024-12-24,2024-12-25,Christmas Day,0.01104275925539211
2024-12-31,2025-01-01,New Year's Day,-0.004284800394927402
2025-01-17,2025-01-20,Martin Luther King Jr. Day,0.009991058969353706
2025-02-14,2025-02-17,Washington's Birthday,-7.194380749464546e-05
2025-04-17,2025-04-18,Good Friday,0.0013268380955802073
2025-05-23,2025-05-26,Memorial Day,-0.006708297825321674
2025-07-03,2025-07-04,Independence Day,0.008338955206607324
2025-08-29,2025-09-01,Labor Day,-0.00639818429357164
2025-11-26,2025-11-27,Thanksgiving,0.006906711511012631
2025-12-24,2025-12-25,Christmas Day,0.0032214822012188726
2025-12-31,2026-01-01,New Year's Day,-0.007357666300846111
2026-01-16,2026-01-19,Martin Luther King Jr. Day,-0.0006423023039563436
2026-02-13,2026-02-16,Washington's Birthday,0.0004990891480125548
2026-04-02,2026-04-03,Good Friday,0.0011208758485563575
2026-05-22,2026-05-25,Memorial Day,0.0037269732409066503
2026-07-02,2026-07-03,Independence Day,1.3702513856905796e-06
2026-09-04,2026-09-07,Labor Day,-0.0037572216084515997
